,mw
2018-01-01 00:00:00,6787.226
2018-01-01 01:00:00,6909.472
2018-01-01 02:00:00,7004.748
2018-01-01 03:00:00,7093.771
2018-01-01 04:00:00,7244.769
2018-01-01 05:00:00,7417.118
2018-01-01 06:00:00,7582.691
2018-01-01 07:00:00,7713.16
2018-01-01 08:00:00,7690.264
2018-01-01 09:00:00,7445.724
2018-01-01 10:00:00,7214.266
2018-01-01 11:00:00,6997.24
2018-01-01 12:00:00,6839.648
2018-01-01 13:00:00,6692.064
2018-01-01 14:00:00,6600.701
2018-01-01 15:00:00,6601.923
2018-01-01 16:00:00,6783.662
2018-01-01 17:00:00,7215.177
2018-01-01 18:00:00,7431.221
2018-01-01 19:00:00,7563.863
2018-01-01 20:00:00,7611.649
2018-01-01 21:00:00,7568.29
2018-01-01 22:00:00,7483.765
2018-01-01 23:00:00,7416.914
2018-01-02 00:00:00,7413.781
2018-01-02 01:00:00,7498.66
2018-01-02 02:00:00,7625.224
2018-01-02 03:00:00,7758.472
2018-01-02 04:00:00,7924.009
2018-01-02 05:00:00,8208.981
2018-01-02 06:00:00,8571.547
2018-01-02 07:00:00,8820.496
2018-01-02 08:00:00,8704.351
2018-01-02 09:00:00,8299.754
2018-01-02 10:00:00,7873.918
2018-01-02 11:00:00,7419.091
2018-01-02 12:00:00,7051.16
2018-01-02 13:00:00,6760.212
2018-01-02 14:00:00,6528.242
2018-01-02 15:00:00,6408.578
2018-01-02 16:00:00,6556.597
2018-01-02 17:00:00,7095.774
2018-01-02 18:00:00,7417.444
2018-01-02 19:00:00,7562.071
2018-01-02 20:00:00,7648.124
2018-01-02 21:00:00,7685.507
2018-01-02 22:00:00,7620.8
2018-01-02 23:00:00,7560.576
2018-01-03 00:00:00,7582.377
2018-01-03 01:00:00,7665.211
2018-01-03 02:00:00,7735.107
2018-01-03 03:00:00,7806.912
2018-01-03 04:00:00,7923.537
2018-01-03 05:00:00,8158.645
2018-01-03 06:00:00,8449.627
2018-01-03 07:00:00,8559.561
2018-01-03 08:00:00,8454.741
2018-01-03 09:00:00,8155.182
2018-01-03 10:00:00,7784.333
